 !!     007c    VERTICAL LINE
 !)     007d    RIGHT CURLY BRACKET
 !*     e026    GREEK VARIA (ISO-10646-1DIS 032/032/042/164)
 !2     2016    DOUBLE VERTICAL LINE
 !:     1f06    GREEK DIAERESIS AND VARIA
 !<     226e    NOT LESS-THAN
 !=     2260    NOT EQUAL TO
 !>     226f    NOT GREATER-THAN
 !I     00a1    INVERTED EXCLAMATION MARK
 "!     e006    NON-SPACING GRAVE ACCENT (ISO-IR-103 193) (character
 ""     e00f    NON-SPACING DOUBLE ACCUTE (ISO-IR-103 204) (character
 "'     e007    NON-SPACING ACUTE ACCENT (ISO-IR-103 194) (character
 "(     e00b    NON-SPACING BREVE (ISO-IR-103 198) (character part)
 "+     064c    ARABIC DAMMATAN
 ",     e011    NON-SPACING CEDILLA (ISO-IR-103 203) (character part)
 "-     e00a    NON-SPACING MACRON (ISO-IR-103 197) (character part)
 ".     e00c    NON-SPACING DOT ABOVE (ISO-IR-103 199) (character part)
 "/     e015    NON-SPACING LONG SOLIDUS (ISO-IR-128 201) (character
 "0     e00e    NON-SPACING RING ABOVE (ISO-IR-103 202) (character part)
 "1     e005    NON-SPACING DIAERESIS WITH ACCENT (ISO-IR-70 192)
 "3     e004    NON-SPACING UMLAUT (ISO-IR-38 201) (character part)
 "5     309b    KATAKANA-HIRAGANA VOICED SOUND MARK
 "6     201c    LEFT DOUBLE QUOTATION MARK
 "9     201d    RIGHT DOUBLE QUOTATION MARK
 ":     e00d    NON-SPACING DIAERESIS (ISO-IR-103 200) (character part)
 ";     e012    NON-SPACING OGONEK (ISO-IR-103 206) (character part)
 "<     e010    NON-SPACING CARON (ISO-IR-103 206) (character part)
 "=     e014    NON-SPACING DOUBLE LOW LINE (ISO-IR-38 217) (character
 ">     e008    NON-SPACING CIRCUMFLEX ACCENT (ISO-IR-103 195)
 "?     e009    NON-SPACING TILDE (ISO-IR-103 196) (character part)
 "_     e013    NON-SPACING LOW LINE (ISO-IR-103 204) (character
 "d     e017    GREEK NON-SPACING DASIA PNEUMATA (ISO-IR-55 38)
 "i     e016    GREEK NON-SPACING IOTA BELOW (ISO-IR-55 39) (character
 "p     e018    GREEK NON-SPACING PSILI PNEUMATA (ISO-IR-55 37)
 %"     042c    CYRILLIC CAPITAL LETTER SOFT SIGN
 %'     044c    CYRILLIC SMALL LETTER SOFT SIGN
 %0     2030    PER MILLE SIGN
 '!     0060    GRAVE ACCENT
 '"     02dd    DOUBLE ACUTE ACCENT
 '%     03f4    ACUTE ACCENT AND DIAERESIS (Tonos and Dialytika)
 ''     00b4    ACUTE ACCENT
 '(     02d8    BREVE
 '+     064f    ARABIC DAMMA
 ',     00b8    CEDILLA
 '-     203e    OVERLINE
 '.     02d9    DOT ABOVE
 '0     02da    RING ABOVE
 '6     2018    LEFT SINGLE QUOTATION MARK
 '9     2019    RIGHT SINGLE QUOTATION MARK
 ':     00a8    DIAERESIS
 ';     02db    OGONEK
 '<     02c7    CARON
 '>     005e    CIRCUMFLEX ACCENT
 '?     007e    TILDE
 'G     03d8    GREEK NUMERAL SIGN
 'm     00af    MACRON
 'n     0149    LATIN SMALL LETTER N PRECEDED BY APOSTROPHE
 (!     007b    LEFT CURLY BRACKET
 ("     3010    LEFT BLACK LENTICULAR BRACKET
 ('     3014    LEFT TORTOISE SHELL BRACKET
 (-     2208    ELEMENT OF
 (A     2312    ARC
 (C     2282    SUBSET OF
 (I     3016    LEFT WHITE LENTICULAR BRACKET
 (S     207d    SUPERSCRIPT LEFT PARENTHESIS
 (U     2229    INTERSECTION
 (_     2286    SUBSET OF OR EQUAL TO
 )"     3011    RIGHT BLACK LENTICULAR BRACKET
 )'     3015    RIGHT TORTOISE SHELL BRACKET
 )>     005d    RIGHT SQUARE BRACKET
 )C     2283    SUPERSET OF
 )I     3017    RIGHT WHITE LENTICULAR BRACKET
 )S     207e    SUPERSCRIPT RIGHT PARENTHESIS
 )U     222a    UNION
 )_     2287    SUPERSET OF OR EQUAL TO
 )s     208e    SUBSCRIPT RIGHT PARENTHESIS
 *-     2217    ASTERISK OPERATOR
 *1     2606    WHITE STAR
 *2     2605    BLACK STAR
 *5     309d    HIRAGANA ITERATION MARK
 *6     30fd    KATAKANA ITERATION MARK
 *>     226b    MUCH GREATER-THAN
 *P     220f    N-ARY PRODUCT
 *X     00d7    MULTIPLICATION SIGN
 *_     3005    IDEOGRAPHIC ITERATION MARK
 *s     03c2    GREEK SMALL LETTER FINAL SIGMA
 +"     3003    DITTO MARK
 ++     0640    ARABIC TATWEEL
 +-     00b1    PLUS-MINUS SIGN
 +5     309e    HIRAGANA VOICED ITERATION MARK
 +6     30fe    KATAKANA VOICED ITERATION MARK
 +S     207a    SUPERSCRIPT PLUS SIGN
 +Z     2211    N-ARY SUMMATION
 +_     3004    IDEOGRAPHIC DITTO MARK
 +s     208a    SUBSCRIPT PLUS SIGN
 ,!     1f03    GREEK PSILI AND VARIA
 ,'     1f01    GREEK PSILI AND ACUTE ACCENT
 ,+     060c    ARABIC COMMA
 ,,     e01a    GREEK PSILI PNEUMATA (ISO-IR-18 124)
 ,G     03d9    GREEK LOWER NUMERAL SIGN
 ,_     3001    IDEOGRAPHIC COMMA
 -!     2191    UPWARDS ARROW
 -)     220b    CONTAINS AS MEMBER
 -+     2213    MINUS-OR-PLUS SIGN
 --     00ad    SOFT HYPHEN
 -1     2010    HYPHEN
 -2     2212    MINUS SIGN
 -3     2015    HORIZONTAL BAR
 -6     30fc    KATAKANA-HIRAGANA PROLONGED SOUND MARK
 -:     00f7    DIVISION SIGN
 ->     2192    RIGHTWARDS ARROW
 -?     301c    WAVE DASH
 -L     221f    RIGHT ANGLE
 -M     2014    EM DASH
 -N     2013    EN DASH
 -S     207b    SUPERSCRIPT MINUS
 -T     22a5    UP TACK
 -V     2220    ANGLE
 -X     2720    MALTESE CROSS
 -a     00aa    FEMININE ORDINAL INDICATOR
 -o     00ba    MASCULINE ORDINAL INDICATOR
 -s     208b    SUBSCRIPT MINUS
 -v     2193    DOWNWARDS ARROW
 ..     2025    TWO DOT LEADER
 .3     22ef    MIDLINE HORIZONTAL ELLIPSIS
 .6     30fb    KATAKANA MIDDLE DOT
 .9     201a    SINGLE LOW-9 QUOTATION MARK
 .:     2234    THEREFORE
 .M     00b7    MIDDLE DOT
 .P     22c5    DOT OPERATOR
 .S     2591    LIGHT SHADE
 ._     3002    IDEOGRAPHIC PERIOD
